"sim","optMLE2_beta0","optMLE2_beta1","optMLE2_beta2","optMLE2_conv_msg","optMLE_wave1_est","optMLE_data_resampled","optMLE_sing_inf","tpr","fpr"
229,-2.05995737639039,1.98472623709898,-0.0860126529679946,"Converged","MLE",TRUE,FALSE,0.99,0.01
230,-1.64694420819503,1.44724218878166,-0.145239882515066,"Converged","CC",FALSE,FALSE,0.99,0.01
231,-1.43402464313378,0.0104869331992407,-0.0689024832433098,"Converged","MLE",FALSE,FALSE,0.99,0.01
232,-1.81270868140049,1.36010314412467,-0.0999861458983417,"Converged","MLE",FALSE,FALSE,0.99,0.01
233,-1.60380735233693,2.38909539479345,-0.20349607414962,"Converged","MLE",TRUE,FALSE,0.99,0.01
234,-1.90903690700665,1.52011252024482,-0.0808486346455179,"Converged","MLE",FALSE,FALSE,0.99,0.01
235,-2.45699238380618,3.36674482190591,-0.101733405177937,"Converged","MLE",FALSE,FALSE,0.99,0.01
236,-1.80672298435023,1.48903372587544,-0.101268603260398,"Converged","MLE",TRUE,FALSE,0.99,0.01
237,-1.99302891586588,1.46988667208077,-0.0818947984929737,"Converged","MLE",FALSE,FALSE,0.99,0.01
238,-1.51162054771717,1.19258638201221,-0.129709692744455,"Converged","MLE",FALSE,FALSE,0.99,0.01
239,-2.23945287720489,3.13022031187304,-0.069428584221974,"Converged","MLE",TRUE,FALSE,0.99,0.01
240,-1.8123345316338,1.21212185812237,-0.0813455084502019,"Converged","MLE",FALSE,FALSE,0.99,0.01
241,-2.29438113070571,3.06924520678012,-0.106308209507916,"Converged","MLE",TRUE,FALSE,0.99,0.01
242,-1.95897146991129,1.87616257396579,-0.122395908882816,"Converged","MLE",TRUE,FALSE,0.99,0.01
